"","country","name","description","startYr","endYr"
"117","afghanistan","abdul_karim_brahawi_","Minister of Refugees and Repatriation","20090701","20100331"
"118","afghanistan","abdul_karim_barawi_","Minister of Border and Tribal Affairs","20050101","20060531"
"119","afghanistan","abdul_hadi_arghandiwal_","Minister of Economy","20100201","20161201"
"120","afghanistan","abdul_azimi_","Chief Justice, Supreme Court","20061001","20070531"
"121","afghanistan","abdul_ali_","Minister of Public Works","20040931","20161201"
"122","afghanistan","abdullah_wardak_","Minister of Martyrs and Disabled","20041231","20161201"
"123","afghanistan","abdullah_ramin_","Minister of Agriculture","20050101","20050331"
"124","albania","ylli_pango_","Minister of Culture and Tourism","20070901","20090831"
"125","albania","viktor_doda_","Minister of Energy and Industry","20050931","20161201"
"126","albania","valentina_leskaj_","Minister of Labor and Social Issues","20040131","20161201"
"127","albania","spiro_peci_","Minister of Justice","20031201","20040131"
"128","albania","spiro_ksera_","Minister of Labor, Social Issues, and Equal Opportunity","20091101","20161201"
"129","albania","spartak_poci_","Minister of Transport and Telecommunications","20050401","20050931"
"130","albania","sokol_olldashi_","Minister of Interior & Minister of Transportation","20051001","20070431"
"131","albania","sokol_nako_","Minister of State for Integration","20030831","20161201"
"132","albania","shkelqim_cani_","Governor, Albanian State Bank","20050931","20161201"
"133","albania","ridvan_bode_","Minister of Finance","20051001","20161201"
"134","albania","petrit_vasili_","Minister of Health","20091101","20161201"
"135","albania","pandeli_majko_","Minister of Defense","20050931","20161201"
"136","albania","nard_ndoka_","Minister of Health","20070501","20091031"
"137","albania","namik_dokle_","Deputy Prime Minister","20040201","20050931"
"138","albania","myqerem_tafaj_","Minister of Education and Science","20091101","20161201"
"139","albania","mustafa_xhani_","Minister of Health","20040131","20161201"
"140","albania","marko_bello_","Minister of State for State Reforms","20040201","20050931"
"141","albania","maksim_cikuli_","Minister of Health","20051001","20070431"
"142","albania","majlinda_bregu_","Minister of Integration","20070501","20161201"
"143","albania","lulzim_basha_","Minister of Foreign Affairs & Minister of Transportation","20051001","20070831"
"144","albania","lufter_xhuveli_","Minister of Environment & Minister of Environment and Waters","20051001","20091031"
"145","albania","luan_rama_","Minister of Public Order","20031231","20161201"
"146","albania","luan_memushi_","Minister of Education and Science","20050401","20050931"
"147","albania","leonard_solis_","Minister of Health","20040201","20050931"
"148","albania","kujtim_hysenaj_","Chairman, National Intelligence Service","20050631","20161201"
"149","albania","kosta_barka_","Minister of Labor and Equal Opportunity","20051001","20070431"
"150","albania","koco_barka_","Minister of Labor, Social Issues, and Equal Opportunity","20070501","20091031"
"151","albania","kastriot_islami_","Minister of Finance","20050931","20161201"
"152","albania","jemin_gjana_","Minister of Agriculture","20051001","20091031"
"153","albania","ilir_rusmajli_","Deputy Prime Minister & Minister of Justice","20051001","20070431"
"154","albania","ilir_meta_","Deputy Prime Minister","20030831","20161201"
"155","albania","igli_toska_","Minister of Public Order","20040201","20050931"
"156","albania","genc_ruli_","Minister of Agriculture, Food, and Consumer Protection & Minister of Economy and Energy","20051001","20091031"
"157","albania","genc_pollo_","Minister of State for Reforms and Parliament Relations & Minister of Education and Science","20051001","20091031"
"158","albania","gazmend_oketa_","Deputy Prime Minister","20070501","20091031"
"159","albania","ferit_hoxha_","Permanent Representative to the UN, New York","20090901","20161201"
"160","albania","ferdinand_xhaferri_","Minister of Culture, Tourism, Youth, and Sports","20091101","20161201"
"161","albania","fatos_tarifa_","Ambassador to the US","20050931","20161201"
"162","albania","fatmir_xhafa_","Minister of Justice","20040201","20050931"
"163","albania","fatmir_mediu_","Minister of Environment, Forestry, and Water Management & Minister of Defense","20051001","20080331"
"164","albania","ethem_ruka_","Minister of Environment","20040201","20050931"
"165","albania","ermelinda_meksi_","Deputy Prime Minister & Minister of Integration","20030901","20040531"
"166","albania","enkelejd_alibeaj_","Minister of Justice","20071201","20091031"
"167","albania","engjell_bejtja_","Minister of Labor and Social Issues","20040201","20050931"
"168","albania","edmond_haxhinasto_","Minister of Foreign Affairs","20101001","20161201"
"169","albania","dritan_prifti_","Minister of Economy, Trade, and Energy","20091101","20100931"
"170","albania","bujar_nishani_","Minister of Interior & Minister of Justice","20070501","20091031"
"171","albania","bujar_leskaj_","Minister of Culture and Tourism","20051001","20070831"
"172","albania","blendi_klosi_","Minister of State on Anticorruption & Minister of Culture, Youth, and Sports","20040201","20050931"
"173","albania","besnik_mustafaj_","Minister of Foreign Affairs","20051001","20070531"
"174","albania","besnik_dervishi_","Minister of Public Works and Tourism","20040131","20161201"
"175","albania","ben_blushi_","Minister of Local Authority and Devolution","20050931","20161201"
"176","albania","bashkim_fino_","Minister of Territory Regulations and Tourism","20040201","20040931"
"177","albania","arta_dade_","Minister of Culture, Youth, and Sports","20040131","20161201"
"178","albania","arenca_troshani_","Minister of Integration","20051001","20070431"
"179","albania","ardian_turku_","Minister of Culture and Tourism","20090901","20091031"
"180","albania","ardian_fullani_","Governor, Bank of Albania","20051001","20161201"
"181","albania","arben_malaj_","Minister of Economy","20050931","20161201"
"182","albania","arben_imami_","Minister of Defense","20091101","20161201"
"183","albania","anastas_angjeli_","Minister of Economics","20040201","20050931"
"184","albania","aleksander_sallabanda_","Ambassador to the US","20060301","20060331"
"185","albania","aldo_bumci_","Minister of Justice","20051001","20070431"
"186","albania","agron_duka_","Minister of Agriculture","20050931","20161201"
"187","albania","agim_nesho_","Permanent Representative to the UN, New York","20060231","20161201"
"188","albania","adrian_neritani_","Permanent Representative to the UN, New York","20060601","20090831"
"189","algeria","zine_eddine_youbi_","Minister of Information Technology and Communication","20040631","20161201"
"190","algeria","youcef_yousfi_","Permanent Representative to the UN, New York & Minister of Energy and Mining","20060401","20080731"
"191","algeria","yahia_hamlaoui_","Minister Delegate in Charge of Participation and Promotion of Investments","20040701","20050531"
"192","algeria","yahia_guiddoum_","Minister of Youth and Sports","20050601","20070631"
"193","algeria","tayeb_louh_","Minister of Labor and Social Security","20030101","20161201"
"194","algeria","tayeb_belaiz_","Minister of National Solidarity & Minister of Justice","20040631","20161201"
"195","algeria","souad_bendjaballah_","Minister Delegate in Charge of Scientific Research & Minister Delegate to the Minister of Higher Education and Scientific Research in Charge of Scientific Research","20040701","20050531"
"196","algeria","smail_mioune_|smail_mimoune_","Minister of Fisheries & Minister of Tourism and Handicrafts","20100631","20161201"
"197","algeria","sakina_messadi_","Minister Delegate in Charge of National Community Abroad","20040701","20050531"
"198","algeria","said_barkat_","Minister of National Solidarity and Family & Minister of Agriculture and Rural Development & Minister of Health, Population, and Hospital Reform","20080701","20100631"
"199","algeria","rachid_harraoubia_","Minister of Higher Education and Scientific Research","20030101","20161201"
"200","algeria","rachid_benaissa_|rachid_benaisa_","Minister Delegate in Charge of Rural Development","20030101","20161201"
"201","algeria","nourredine_yazid_zerhouni_|noureddine_yazid_zerhouni_","Minister of Interior","20030101","20161201"
"202","algeria","nourredine_salah_","Minister of National Education","20040631","20161201"
"203","algeria","noureddine_taleb_","Minister in Charge of Relations With the Parliament","20040631","20161201"
"204","algeria","noureddine_moussa_","Minister of Tourism & Minister of Housing and Urban Development","20050601","20070631"
"205","algeria","noureddine_boukrouh_","Minister of Commerce","20050531","20161201"
"206","algeria","noura_saadia_djaafar_|nouara_saadia_djaafar_","Minister Delegate to the Minister of Health, Population, & Hospital Reform in Charge of Family Affairs and Womens Issues & Minister Delegate in Charge of the Family and Womens Issues & Minister Delegate to the Minister of National Solidarity & Family & Algerian Communities Abroad in Charge of Family Affairs and Womens Issues","20070701","20080631"
"207","algeria","nacer_mehal_","Minister of Communication","20100701","20161201"
"208","algeria","mustapha_benbada_|mustapha_bedbada_","Minister of Small & Medium-Sized Enterprises and Handicrafts & Minister of Small and Medium-Sized Industries & Minister of Small and Medium-Sized Industries & Minister of Commerce","20050601","20100631"
"209","algeria","moussa_benhamadi_","Minister of Postal Services & Information and Communication Technologies","20100701","20161201"
"210","algeria","mourad_redjimi_","Minister of Health","20040701","20050531"
"211","algeria","mourad_medelci_","Minister of Finance","20050601","20161201"
"212","algeria","mourad_benmehidi_","Permanent Representative to the UN, New York","20081101","20161201"
"213","algeria","mohammed_charfi_","Minister of Justice","20040631","20161201"
"214","algeria","mohammed_bedjaoui_","Minister of State for Foreign Affairs","20060501","20070631"
"215","algeria","mohamed_terbeche_","Minister of Finance","20040631","20161201"
"216","algeria","mohamed_seghir_kara_","Minister of Tourism","20040701","20050531"
"217","algeria","mohamed_nadir_hamimid_","Minister of Housing & Minister of Housing and Urban Development","20050601","20070631"
"218","algeria","mohamed_maghlaoui_","Minister of Transport","20040701","20080631"
"219","algeria","mohamed_lekasassi_","Governor, Central Bank","20030101","20161201"
"220","algeria","mohamed_cherif_abbas_","Minister of Moudjhidine","20030101","20161201"
"221","algeria","mohamed_benmeradi_","Minister of Industry, Small & Medium-Sized Enterprises, and Promotion of Investment","20100701","20161201"
"222","algeria","mohamed_bedjaoui_","Minister of State for Foreign Affairs","20050601","20060431"
"223","algeria","mahmoud_khoudri_|mahmoud_khedri_","Minister in Charge of Relations With the Parliament & Minister of Relations With the Parliament & Minister of Industry","20040701","20050531"
"224","algeria","leila_hammou_boutleis_","Minister Delegate in Charge of Scientific Research","20040631","20161201"
"225","algeria","lakhdar_dorbani_","Minister of Tourism","20040631","20161201"
"226","algeria","khalida_toumi_","Minister of Communication and Culture & Minister of Culture & Minister of Culture","20040701","20040931"
"227","algeria","karim_younes_","Speaker of the National Peoples Assembly ""Lower House""","20040631","20161201"
"228","algeria","karim_djoudi_","Minister Delegate in Charge of Financial Reform","20040701","20161201"
"229","algeria","idriss_jazairy_","Ambassador to the US","20050531","20161201"
"230","algeria","hamid_bessalah_","Minister of Postal Services, Information, and Communication Technologies","20080701","20100631"
"231","algeria","hachemi_djiar_","Minister of Youth and Sports","20070701","20161201"
"232","algeria","fatma_zohra_bouchemla_","Minister Delegate in Charge of National and Foreign Identity","20040631","20161201"
"233","algeria","fatiha_mentouri_","Minister Delegate in Charge of Financial Reform & Minister Delegate to the Minister of Finance in Charge of Financial Reform","20070701","20080631"
"234","algeria","el_hadi_khaldi_|el_hadi_khalidi_","Minister of Vocational Training & Minister of Vocational Training & Minister of Vocational and Educational Training","20040701","20040931"
"235","algeria","el_hachemi_djiar_","Minister of Communication","20060601","20070631"
"236","algeria","el_hachemi_djaaboub_","Minister of Industry","20100631","20161201"
"237","algeria","djamel_ould_abbas_|djamal_ould_abbas_","Minister of National Solidarity & Minister of Health, Population, and Hospital Reform & Minister of Employment and National Solidarity","20040701","20050531"
"238","algeria","daho_ould_kablia_","Minister Delegate in Charge of Local Collectives","20030101","20161201"
"239","algeria","cherif_rahmani_","Minister of Urban Planning, the Environment, and Tourism & Minister of Environment & Minister of Territorial Management and the Environment","20070701","20100631"
"240","algeria","chekib_khalil_|chakib_khelil_","Minister of Energy and Mining","20030701","20100631"
"241","algeria","boutheina_cheriet_","Minister Delegate in Charge of the Family and Womens Issues","20040631","20161201"
"242","algeria","bouguerra_soltani_|boudjerra_soltani_","Minister of State Without Portfolio","20050601","20090431"
"243","algeria","boudjemaa_haichour_","Minister of Communication","20040701","20080631"
"244","algeria","boubekeur_benbouzid_","Minister of Youth and Sports & Minister of National Education","20040631","20161201"
"245","algeria","bouabdellah_ghlamallah_","Minister of Religious Affairs","20030101","20161201"
"246","algeria","amine_kherbi_","Ambassador to the US","20051101","20081231"
"247","algeria","amer_tou_|amar_tou_","Minister of Transport & Minister of Health, Population, and Hospital Reform & Minister of Post, Telecommunication, and Information Technology","20050601","20080631"
"248","algeria","amar_ghoul_","Minister of Public Works","20030101","20161201"
"249","algeria","ahmed_ouyahia_","Personal Representative of the President & Prime Minister","20060531","20161201"
"250","algeria","ahmed_noui_","Secretary General of the Government","20070701","20161201"
"251","algeria","abderrachid_boukerzaza_","Minister Delegate in Charge of Urban Environmental Affairs & Minister of Communication","20040701","20080631"
"252","algeria","abdelmalek_sellal_","Minister of Water Resources & Minister of Transport","20040701","20161201"
"253","algeria","abdelmalek_guenaizia_","Minister Delegate to the Minister of National Defense","20050601","20161201"
"254","algeria","abdelmadjid_attar_","Minister of Water Resources","20040631","20161201"
"255","algeria","abdelkar_sallat_","Minister Delegate in Charge of Prison Reform","20040631","20161201"
"256","algeria","abdelkader_messahel_","Minister Delegate in Charge of African Affairs","20030101","20161201"
"257","algeria","abdelkader_bensalah_","Speaker of the Council of Nations ""Upper House""","20050531","20161201"
"258","algeria","abdelhamid_temmar_","Minister of Prospective Planning and Statistics & Minister of Participation and Promotion of Investment & Minister of Participation and Promotion of Investments","20050601","20100631"
"259","algeria","abdelhamid_aberkane_","Minister of Health","20040301","20040631"
"260","algeria","abdelhamid_abad_","Minister of Professional Training","20030601","20030631"
"261","algeria","abdelaziz_ziari_","Minister of Youth and Sports","20040701","20070631"
"262","algeria","abdelaziz_belkhadem_","Minister of Foreign Affairs & Prime Minister","20060531","20161201"
"263","algeria","abdelatif_benachenhou_","Minister of Finance","20040701","20050531"
"264","algeria","abdallah_khanafou_","Minister of Fisheries and Fishing Resources","20100701","20161201"
"265","algeria","abdallah_bali_|abdallah_baali_","Permanent Representative to the UN, New York & Ambassador to the US","20050901","20060331"
"266","andorra","xavier_montane_atero_","Minister of Culture","20050631","20161201"
"267","andorra","xavier_jordana_","Minister of Territorial and Town Planning & Minister of Territorial & Town Planning and Environment","20070601","20080331"
"268","andorra","xavier_espot_miro_","Minister of Foreign Affairs and Institutional Relations","20090701","20161201"
"269","andorra","victor_naudi_zamora_","Minister of Interior","20090701","20161201"
"270","andorra","vicenc_alay_ferrer_","Minister of Territorial Planning, Environment, and Agriculture","20090701","20161201"
"271","andorra","susanna_vela_palomares_","Minister of Education, Culture, and Youth","20090701","20161201"
"272","andorra","roser_bastida_","Minister of Education and Professional Training","20050701","20090631"
"273","andorra","pere_torres_","Minister of Agriculture and Natural Heritage","20050701","20070531"
"274","andorra","pere_lopez_agras_","Minister of Economy and Finance","20090701","20161201"
"275","andorra","pere_cervos_cardona_","Minister of Education, Youth, and Sports","20050631","20161201"
"276","andorra","olga_adellach_coma_","Minister of Agriculture and the Environment","20050631","20161201"
"277","andorra","narcis_casal_fonsdeviela_","Permanent Representative to the UN, New York","20091001","20161201"
"278","andorra","montserrat_gil_","Minister of Health, Welfare, and Family","20050701","20090631"
"279","andorra","monica_codina_tort_","Minister of Health","20050631","20161201"
"280","andorra","mireia_maestre_cortadella_","Minister of Finance","20050631","20161201"
"281","andorra","miquel_alvarez_marfany_","Minister of the Economy","20050631","20161201"
"282","andorra","meritxell_mateu_","Minister of Foreign Affairs & Minister of Housing, Youth, Higher Education, and Research","20070601","20090631"
"283","andorra","marc_forne_molne_","Head of Government","20050631","20161201"
"284","andorra","manel_pons_","Minister of Territorial Planning","20050701","20070531"
"285","andorra","juli_minoves_triquell_","Minister of Foreign Affairs","20040431","20161201"
"286","andorra","juli_minoves_itriquell_","Minister of Foreign Affairs","20040501","20050631"
"287","andorra","juli_minoves_","Minister of Economic Development, Tourism, Culture, & Higher Education and Spokesman & Minister of Culture & Higher Education and Spokesman & Minister of Foreign Affairs, Culture, and Cooperation","20080401","20090631"
"288","andorra","julia_vila_coma_","Permanent Representative to the UN, New York","20060901","20080331"
"289","andorra","josep_maria_cabanes_","Minister of Justice and Interior","20050701","20070531"
"290","andorra","jordi_visent_guitart_","Minister of Justice and Home Affairs","20050631","20161201"
"291","andorra","jordi_serra_malleu_","Minister of Territorial Planning","20050631","20161201"
"292","andorra","joel_font_","Minister of Economy & Minister of Economy and Agriculture","20050701","20070531"
"293","andorra","jelena_v_pia_comella_","Charge dAffaires, UN, New York","20030801","20050631"
"294","andorra","jelena_pia_comella_","Charge dAffaires, UN, New York","20050701","20060831"
"295","andorra","jaume_bartumeu_cassany_","Head of Government","20090701","20161201"
"296","andorra","ferran_mirapeix_","Minister of Finance","20050701","20090631"
"297","andorra","enric_pujal_areny_","Minister of the Presidency and Tourism","20040201","20050631"
"298","andorra","cristina_rodriguez_galan_","Minister of Health, Welfare, and Labor","20090701","20161201"
"299","andorra","carles_font_","Minister of Sports and Volunteering & Ambassador to the US","20050701","20070731"
"300","andorra","bishop_joan_marti_alanis_","Head of State ""Co-Prince""","20030531","20161201"
"301","andorra","bishop_joan_enric_vives_sicilia_","Head of State ""Co-Prince""","20030601","20050631"
"302","andorra","bishop_joan_enric_vives_isicilia_","Head of State ""Co-Prince""","20050701","20161201"
"303","andorra","antoni_riberaygua_","Minister of Justice and Interior","20070601","20090631"
"304","andorra","antoni_puigdellivol_","Minister of Tourism and Environment","20050701","20080331"
"305","andorra","albert_pintat_","Head of Government","20050701","20090631"
"306","angola","virgilio_ fontes_pereira_","Minister of Territorial Administration & Minister of Environment and Urban Development","20030401","20041031"
"307","angola","victorino_domingos_hossi_","Minister of Commerce","20041031","20161201"
"308","angola","sebastiao_sapuile_velsos_","Minister of Health","20050101","20081131"
"309","angola","sebastiao_jose_antonio_martins_","Minister of Interior","20101101","20161201"
"310","angola","salamao_xirimbimbi_","Minister of Fisheries","20030401","20161201"
"311","angola","rosa_maria_martins_da_cruz_esilva_","Minister of Culture","20081201","20161201"
"312","angola","roberto_leal_monteiro_ngongo_","Minister of Interior","20060301","20101031"
"313","angola","pedro_mutindi_","Minister of Tourism and Hotels","20081201","20100731"
"314","angola","pedro_jose_van_dunem_","Minister of War Veterans","20110131","20161201"
"315","angola","pedro_henrick_vaal_neto_|pedro_hendrick_vaal_neto_","Minister of Social Communication","20081131","20161201"
"316","angola","paulo_tjipilica_","Minister of Justice","20041231","20161201"
"317","angola","paulo_kassoma_","Prime Minister","20081201","20081231"
